"id","url","comment"
86725,"https://www.kuhmoinen.fi/vapaa-aika%20ja%20liikunta/kirjasto%20ja%20kulttuuri/kirjasto/","Kuhmoisten kirjasto"
86730,"https://outi.finna.fi/OrganisationInfo/Home#86730","Oulun pääkirjasto"
86768,"https://pyhajarvi.fi/fi/kirjasto","Pyhäjärven kirjasto"
86775,"https://eepos.finna.fi/OrganisationInfo/Home#86775","Seinäjoen pääkirjasto, Aallon kirjasto"
86784,"https://kirjasto.mikkeli.fi/","Mikkelin pääkirjasto"
86787,"https://lumme.finna.fi/OrganisationInfo/Home#86787","Pertunmaan lähikirjasto"
86788,"https://www.pyharanta.fi/vapaa-aika-ja-hyvinvointi/kirjasto/","Pyhärannan kirjasto"
84749,"https://helmet.finna.fi/OrganisationInfo?_=1771170939393#84749","Auroran sairaalan potilaskirjasto"
84750,"https://hakemisto.kirjastot.fi/helsinki/kontulan-palvelukeskuskirjasto/","Kontulan palvelukeskuskirjasto"
84751,"https://hakemisto.kirjastot.fi/helsinki/kustaankartanon-palvelukeskuskirjasto/","Kustaankartanon palvelukeskuskirjasto"
84762,"https://hakemisto.kirjastot.fi/helsinki/helsinki-psykiatriakeskuksen-kirjasto/","Psykiatriakeskuksen potilaskirjasto"
84763,"https://hakemisto.kirjastot.fi/helsinki/riistavuoren-palvelukeskuskirjasto","Riistavuoren palvelukeskuskirjasto"
85009,"https://ypaja.fi/kirjasto-ja-omatoimikirjasto/","Ypäjän kunnankirjasto"
85088,"https://lapinlahti.fi/fi/kulttuuri-ja-vapaa-aika/kirjasto/varpaisjarven-lahikirjasto-0/","Varpaisjärven lähikirjasto"
85099,"https://loisto.verkkokirjasto.fi/-/riihikosken-kirjasto/","Riihikosken kirjasto"
85100,"https://loisto.verkkokirjasto.fi/-/kyron-kirjasto/","Kyrön kirjasto"
85127,"https://www.pirkkala.fi/toimipisteet/nuolialan-kirjasto/","Nuolialan kirjasto"
85128,"https://www.pirkkala.fi/toimipisteet/toivion-kirjasto/","Toivion kirjasto"
85169,"https://www.virrat.fi/vapaa-ajan-palvelut/kirjasto/","Virtain kaupunginkirjasto"
85179,"https://www.turku.fi/toimipaikat/aunelan-kirjasto/","Aunelan kirjasto"
85190,"https://eepos.finna.fi/OrganisationInfo#85190","Soinin kirjasto"
85275,"https://www.vehmaa.fi/hyvinvointi-ja-vapaa-aika/kirjasto/","Vehmaan kunnankirjasto"
85314,"https://www.padasjoki.fi/hyvinvointi-ja-kulttuuri/kirjasto/","Padasjoen kunnankirjasto"
85356,"https://www.kolari.fi/fi/kirjasto-ja-kulttuuri/kirjasto/","Kolarin kunnankirjasto"
85462,"https://enontekio.fi/fi/vapaa-aika/kulttuuripalvelut/kirjasto/","Enontekiön kirjasto"
85509,"https://www.pukkila.fi/hyvinvointi-ja-kulttuuri/kirjastopalvelut/","Pukkilan kirjasto"
85524,"https://pyhtaa.fi/fi/vapaa-aika-kulttuuri/kirjasto/","Pyhtään kunnankirjasto"
85662,"https://satakirjastot.finna.fi/OrganisationInfo/Home#85662","Eurajoen pääkirjasto"
85684,"https://vierema.fi/vapaa-aika-ja-hyvinvointi/kirjasto/","Vieremän kunnankirjasto"
85694,"https://kauhava.fi/vapaa_aika/kirjasto/kirjaston-palvelut/kortesjarven-kirjasto/","Kortesjärven kirjasto"
85750,"https://satakirjastot.finna.fi/OrganisationInfo/Home#85750","Vampulan kirjasto"
85830,"https://keski.finna.fi/OrganisationInfo?_=1771170939393#85830","Pihlajakosken kirjastotila"
85967,"https://hakemisto.kirjastot.fi/masku/paakirjasto-masku/","Maskun pääkirjasto"
85968,"https://hakemisto.kirjastot.fi/masku/askainen/","Askaisten kirjasto"
85970,"https://hakemisto.kirjastot.fi/masku/lemu/","Lemun kirjasto"
86006,"https://mikkeli.fi/ota-yhteytta/kirjastot/suomenniemen-kirjasto/","Suomenniemen kirjasto"
86011,"https://www.ouka.fi/kirjastot-ja-kirjastoautot/martinniemen-kirjasto/","Martinniemen kirjasto"
86074,"https://loisto.verkkokirjasto.fi/-/auran-kirjas-1#/","Auran kirjasto"
86087,"https://kannus.fi/kirjasto/tilat-ja-palvelut/korpelan-lainausasema/","Korpelan lainausasema"
86433,"https://keski.finna.fi/OrganisationInfo#86433","Päijälän kirjastotila"
86521,"https://satakirjastot.finna.fi/OrganisationInfo/Home#86521","Eurajoen lähikirjasto, Luvian kirjasto"
86542,"https://lapinlahti.fi/fi/kulttuuri-ja-vapaa-aika/kirjasto/lapinlahden-paakirjasto-0/","Lapinlahden pääkirjasto"
86657,"https://www.urjala.fi/ela-ja-voi-hyvin/kirjasto/","Urjalan kunnankirjasto"
86785,"https://www.heinola.fi/hyvinvointi-ja-vapaa-aika/kirjasto/lehtisali-ja-omatoimikirjasto/","Heinolan lehtisali ja omatoimikirjasto"
